Date,time,Wind Speed(m/s),Wind Direction(degree),Atmospheric Temperature(°C),Atmospheric Humidity(%),24-hour Cumulative Rainfall(mm/24h),Solar Radiation(W/m2)
2026-06-09,12:06:13,0.0,0,15.7,64.4,0.0,0
2026-06-09,12:07:13,0.0,0,15.7,64.3,0.0,0
2026-06-09,12:08:13,0.0,0,15.7,64.3,0.0,0
2026-06-09,12:09:13,0.0,0,15.7,64.3,0.0,0
2026-06-09,12:10:14,0.0,0,15.7,64.2,0.0,0
2026-06-09,12:11:14,0.0,0,15.8,64.1,0.0,0
2026-06-09,12:12:14,0.0,0,15.8,64.1,0.0,0
2026-06-09,12:13:14,0.0,0,15.8,64.0,0.0,0
2026-06-09,12:14:14,0.0,0,15.8,64.0,0.0,0
2026-06-09,12:15:14,0.0,0,15.8,63.9,0.0,0
2026-06-09,12:16:14,0.0,0,15.8,63.8,0.0,0
2026-06-09,12:17:14,0.0,0,15.9,63.7,0.0,0
2026-06-09,12:18:14,0.0,0,15.8,63.7,0.0,0
2026-06-09,12:19:14,0.0,0,15.9,63.7,0.0,0
2026-06-09,12:20:14,0.0,0,15.9,63.6,0.0,0
2026-06-09,12:21:14,0.0,0,15.9,63.6,0.0,0
2026-06-09,12:22:14,0.0,0,15.9,63.6,0.0,0
2026-06-09,12:23:15,0.0,0,16.0,63.4,0.0,0
2026-06-09,12:24:14,0.0,0,16.0,63.5,0.0,0
2026-06-09,12:25:15,0.0,0,16.0,63.4,0.0,0
2026-06-09,12:26:15,0.0,0,16.0,63.4,0.0,0
2026-06-09,12:27:15,0.0,0,16.0,63.4,0.0,0
2026-06-09,12:28:15,0.0,0,16.0,63.3,0.0,0
2026-06-09,12:29:15,0.0,0,16.0,63.3,0.0,0
2026-06-09,12:30:15,0.0,0,16.0,63.1,0.0,0
2026-06-09,12:31:15,0.0,0,16.0,63.2,0.0,0
2026-06-09,12:32:15,0.0,0,16.1,63.2,0.0,0
2026-06-09,12:33:15,0.0,0,16.0,63.2,0.0,0
2026-06-09,12:34:15,0.0,0,16.0,63.2,0.0,0
2026-06-09,12:35:15,0.0,0,16.1,63.1,0.0,0
2026-06-09,12:36:15,0.0,0,16.1,63.0,0.0,0
2026-06-09,12:37:15,0.0,0,16.1,63.1,0.0,0
2026-06-09,12:38:15,0.0,0,16.1,63.1,0.0,0
2026-06-09,12:39:15,0.0,0,16.1,63.0,0.0,0
2026-06-09,12:40:16,0.0,0,16.1,63.0,0.0,0
2026-06-09,12:41:16,0.0,0,16.1,62.8,0.0,0
2026-06-09,12:42:16,0.0,0,16.1,63.0,0.0,0
2026-06-09,12:43:16,0.0,0,16.1,62.9,0.0,0
2026-06-09,12:44:16,0.0,0,16.2,62.9,0.0,0
2026-06-09,12:45:16,0.0,0,16.1,62.8,0.0,0
2026-06-09,12:46:16,0.0,0,16.1,62.9,0.0,0
2026-06-09,12:47:16,0.0,0,16.1,62.8,0.0,0
2026-06-09,12:48:16,0.0,0,16.2,62.8,0.0,0
2026-06-09,12:49:16,0.0,0,16.1,62.9,0.0,0
2026-06-09,12:50:16,0.0,0,16.2,62.8,0.0,0
2026-06-09,12:51:16,0.0,0,16.1,62.9,0.0,0
2026-06-09,12:52:16,0.0,0,16.2,62.8,0.0,0
2026-06-09,12:53:16,0.0,0,16.2,62.9,0.0,0
2026-06-09,12:54:16,0.0,0,16.1,62.9,0.0,0
2026-06-09,12:55:16,0.0,0,16.1,62.8,0.0,0
2026-06-09,12:56:17,0.0,0,16.1,62.8,0.0,0
2026-06-09,12:57:17,0.0,0,16.2,62.8,0.0,0
2026-06-09,12:58:17,0.0,0,16.1,62.9,0.0,0
