valid_time,latitude,longitude,d2m,t2m,ssrd,u10,v10,sp,tp,number,expver,humidity
2023-06-04 16:00:00,-34.900000000000006,-71.90000000000003,282.1114,287.45087,3.991268e+06,-0.4882965,1.6004181,99778.94,4.351138e-07,0,0001,92.11807
2023-06-04 17:00:00,-34.900000000000006,-71.90000000000003,282.53802,288.80768,5.911688e+06,0.76452637,1.6514606,99719.75,4.351138e-07,0,0001,90.83933
2023-06-04 18:00:00,-34.900000000000006,-71.90000000000003,282.87836,289.51984,7.780584e+06,1.5593033,1.7561064,99667.31,4.351138e-07,0,0001,90.34144
2023-06-04 19:00:00,-34.900000000000006,-71.90000000000003,282.82202,289.63623,9.336936e+06,1.1917267,2.2810678,99727.31,4.351138e-07,0,0001,90.104126
2023-06-04 20:00:00,-34.900000000000006,-71.90000000000003,282.54352,289.5885,1.0493908e+07,0.5817871,2.0911427,99715.19,1.2874607e-06,0,0001,89.78067
2023-06-04 21:00:00,-34.900000000000006,-71.90000000000003,282.92725,288.60968,1.1064976e+07,0.9447174,1.5104618,99737.06,1.2814999e-06,0,0001,91.663345
2023-06-04 22:00:00,-34.900000000000006,-71.90000000000003,282.34546,286.96027,1.1140648e+07,0.9359741,1.6646118,99737.25,1.2794262e-06,0,0001,93.14699
2023-06-04 23:00:00,-34.900000000000006,-71.90000000000003,282.0675,285.5672,1.1140648e+07,0.35035706,1.5515594,99742.56,1.2814999e-06,0,0001,94.7425
2023-06-05 00:00:00,-34.900000000000006,-71.90000000000003,281.79114,284.33136,1.1140648e+07,-0.42919922,1.3813324,99744.5,1.2814999e-06,0,0001,96.14485
2023-06-05 01:00:00,-34.900000000000006,-71.90000000000003,281.4466,283.50568,0.0,-0.65512085,1.1429291,99740.625,0.0,0,0001,96.856606
2023-06-05 02:00:00,-34.900000000000006,-71.90000000000003,281.19617,282.87067,0.0,-0.36697388,1.3053131,99731.69,0.0,0,0001,97.43193
2023-06-05 03:00:00,-34.900000000000006,-71.90000000000003,280.8014,282.25476,0.0,-0.4423828,1.3594818,99723.125,0.0,0,0001,97.76291
2023-06-05 04:00:00,-34.900000000000006,-71.90000000000003,280.46228,281.74908,0.0,-0.5238495,1.1987,99709.31,0.0,0,0001,98.01356
2023-06-05 05:00:00,-34.900000000000006,-71.90000000000003,279.93884,281.1245,0.0,-0.17068481,1.7019043,99734.875,0.0,0,0001,98.164246
2023-06-05 06:00:00,-34.900000000000006,-71.90000000000003,279.41187,280.70068,0.0,-1.153122,1.3762054,99737.5,0.0,0,0001,98.00263
2023-06-05 07:00:00,-34.900000000000006,-71.90000000000003,279.04993,280.524,0.0,-1.0470886,1.3503265,99722.31,0.0,0,0001,97.716484
2023-06-05 08:00:00,-34.900000000000006,-71.90000000000003,278.92395,280.13214,0.0,-1.2928009,1.0163422,99678.125,0.0,0,0001,98.12261
2023-06-05 09:00:00,-34.900000000000006,-71.90000000000003,278.67334,279.54407,0.0,-1.2755737,0.9288435,99602.5,0.0,0,0001,98.64127
2023-06-05 10:00:00,-34.900000000000006,-71.90000000000003,278.5282,279.17944,0.0,-1.1474915,0.9792118,99567.06,0.0,0,0001,98.98108
2023-06-05 11:00:00,-34.900000000000006,-71.90000000000003,278.77368,279.2213,0.0,-0.8191376,0.9590473,99562.44,0.0,0,0001,99.29884
2023-06-05 12:00:00,-34.900000000000006,-71.90000000000003,279.17395,280.06335,1240.0,-0.6386566,1.2209625,99613.125,0.0,0,0001,98.61503
2023-06-05 13:00:00,-34.900000000000006,-71.90000000000003,279.59558,281.45032,187484.0,-1.1388702,1.0633545,99671.94,4.4703484e-08,0,0001,97.143295
2023-06-05 14:00:00,-34.900000000000006,-71.90000000000003,280.80078,283.9236,863112.0,-1.2945251,0.7700348,99627.375,4.4703484e-08,0,0001,95.26964
